Temp,Press,vf,vg,hf,hg,sf,sg
0.01,0.00611,0.001000,206.136,0.01,2501.4,0.0000,9.1562
5,0.00872,0.001000,147.120,20.98,2510.6,0.0761,9.0257
10,0.01228,0.001000,106.379,42.01,2519.8,0.1510,8.9008
15,0.01705,0.001001,77.926,62.99,2528.9,0.2245,8.7814
20,0.02339,0.001002,57.791,83.96,2538.1,0.2966,8.6672
25,0.03169,0.001003,43.360,104.89,2547.2,0.3674,8.5580
30,0.04246,0.001004,32.894,125.79,2556.3,0.4369,8.4533
40,0.07384,0.001008,19.523,167.57,2574.3,0.5725,8.2570
50,0.1235,0.001012,12.032,209.33,2592.1,0.7038,8.0763
60,0.1994,0.001017,7.671,251.13,2609.6,0.8312,7.9096
70,0.3119,0.001023,5.042,293.01,2626.8,0.9549,7.7553
80,0.4739,0.001029,3.407,334.91,2643.7,1.0753,7.6122
90,0.7014,0.001036,2.361,376.92,2660.1,1.1925,7.4791
100,1.0142,0.001044,1.673,419.04,2676.0,1.3069,7.3549
110,1.4338,0.001052,1.210,461.30,2691.5,1.4185,7.2387
120,1.9867,0.001060,0.8917,503.71,2706.3,1.5276,7.1296
130,2.7028,0.001070,0.6683,546.31,2720.5,1.6344,7.0269
140,3.6154,0.001080,0.5087,589.13,2733.9,1.7391,6.9299
150,4.7616,0.001091,0.3926,632.20,2746.5,1.8418,6.8379
160,6.1823,0.001102,0.3070,675.55,2758.1,1.9427,6.7502
170,7.9219,0.001114,0.2427,719.21,2768.7,2.0419,6.6663
180,10.028,0.001127,0.1939,763.22,2778.2,2.1396,6.5857
190,12.552,0.001141,0.1564,807.62,2786.4,2.2359,6.5079
200,15.549,0.001157,0.1273,852.45,2793.2,2.3309,6.4323
210,19.077,0.001173,0.1043,897.76,2798.5,2.4248,6.3585
220,23.196,0.001190,0.0861,943.62,2802.1,2.5178,6.2861
230,27.971,0.001209,0.0715,990.12,2804.0,2.6099,6.2146
240,33.469,0.001229,0.0597,1037.3,2803.8,2.7015,6.1437
250,39.762,0.001251,0.0501,1085.3,2801.5,2.7927,6.0730
260,46.923,0.001276,0.0422,1134.3,2796.6,2.8838,6.0019
280,64.166,0.001332,0.0301,1236.0,2779.6,3.0668,5.8571
300,85.879,0.001404,0.0216,1344.0,2749.0,3.2534,5.7045
320,112.84,0.001500,0.0154,1461.5,2700.1,3.4480,5.5362
340,145.94,0.001638,0.0107,1594.2,2622.0,3.6594,5.3357
360,186.66,0.001893,0.0069,1760.5,2481.0,3.9153,5.0526
374.14,220.64,0.003106,0.0031,2099.3,2099.3,4.4298,4.4298